From,To,Link,Time,Count
1,4,124:42,249.52,113
1,4,42:39,182.02,104
1,4,39:23,35.50,104
1,4,23:77,15.07,104
1,4,77:9,18.59,104
1,4,9:84,8.10,104
1,6,124:42,260.46,28
1,6,42:39,164.15,27
1,6,39:23,42.00,27
1,6,23:77,13.33,27
1,6,77:9,21.11,27
1,6,9:11,23.48,27
1,6,11:6,20.44,27
1,6,6:10,11.59,27
1,6,10:7,30.35,26
1,6,7:47,13.65,26
1,8,124:42,169.25,4
1,8,42:39,58.67,3
1,8,39:23,41.33,3
1,8,23:77,12.00,3
1,8,77:9,20.00,3
1,8,9:11,19.33,3
1,8,11:6,16.67,3
1,8,6:10,9.00,3
1,8,10:7,7.67,3
1,8,7:8,36.33,3
1,8,8:123,32.33,3
1,8,123:41,5.33,3
1,8,41:83,17.00,3
1,8,83:12,46.33,3
1,8,12:111,15.33,3
1,10,124:42,228.14,210
1,10,42:39,172.72,193
1,10,39:23,39.99,193
1,10,23:77,13.15,193
1,10,77:9,23.04,193
1,10,9:11,21.76,193
1,10,11:6,21.92,193
1,10,6:10,10.29,192
1,10,10:7,29.65,192
1,10,7:8,44.07,180
1,10,8:123,19.93,179
1,10,123:41,19.07,179
1,10,41:86,8.20,179
1,10,86:48,4.23,179
1,10,48:110,8.64,179
1,10,110:71,9.98,179
1,13,124:42,162.88,8
1,13,42:39,182.13,8
1,13,39:23,100.63,8
1,13,23:22,9.67,6
1,13,22:21,11.57,7
1,13,21:20,14.00,7
1,13,20:87,11.29,7
1,13,87:37,116.43,7
1,13,37:14,154.29,7
1,13,14:112,5.57,7
1,13,112:89,47.29,7
1,13,89:31,4.86,7
1,13,23:77,11.50,2
1,13,77:9,43.50,2
1,13,9:11,14.00,2
1,13,11:6,44.00,1
1,13,6:10,9.00,1
1,13,10:7,44.00,1
1,13,7:8,13.00,1
1,13,8:123,6.00,1
1,13,123:41,19.00,1
1,13,41:86,10.00,1
1,13,86:48,6.00,1
1,13,48:12,42.00,1
1,13,12:83,10.00,1
1,13,83:41,123.00,1
1,13,41:53,108.00,1
1,13,53:50,9.00,1
1,13,50:54,2.00,1
1,13,11:4,941.00,1
1,13,4:3,15.00,1
1,13,3:2,52.00,1
1,13,2:145,29.00,1
1,13,145:22,83.00,1
1,14,124:42,205.12,74
